"All crash data available using this tool represents reportable data collected from Texas Peace Officer's Crash Reports (CR-3) received and processed by the Texas Department of Transportation (Department) as of 04/27/2017. The Department makes no warranty, representation or guaranty as to the content, accuracy, timeliness or completeness of any of the information provided as a result of your query. Any opinions and conclusions resulting from analysis performed on the crash data must be represented as your own and not those of the State of Texas or the Department. "

"Query Result Counts:"
"Your query returned a total of 2,232 Crashes containing 2,264 Units and 2,319 Persons"

"Query Filters:"
"Crash Year Is In 2010 or 2011 or 2012 or 2013 or 2014 or 2015 or 2016 or 2017"
"City Is Equal To Austin"
"Unit Description Is Equal To Pedalcyclist"

"Crash ID","Average Daily Traffic Amount","Average Daily Traffic Year","Crash Death Count","Crash Incapacitating Injury Count","Crash Non-incapacitating Injury Count","Crash Not Injured Count","Crash Possible Injury Count","Crash Severity","Crash Time","Crash Year","Day of Week","Intersecting Street Name","Intersection Related","Latitude","Light Condition","Longitude","Manner of Collision","Medical Advisory Flag","Object Struck","Road Base Type","Speed Limit","Street Name","Surface Condition","Weather Condition"
"11243623","15262","2014","0","1","0","0","0","Incapacitating Injury","0239","2010","Friday","N/A","Non Intersection","30.28608823","Dark, Lighted","-97.6805777","One Motor Vehicle - Going Straight","No","Not Applicable","Flex Base (Granular)","45","FM0969","Dry","Clear"
"12112069","No Data","No Data","0","0","2","1","0","Non-Incapacitating Injury","0310","2010","Friday","N/A","Non Intersection","30.25524478","Dark, Lighted","-97.74505246","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","35","E RIVERSIDE DR","Dry","Clear"
"11376123","22775","2014","0","0","1","1","0","Non-Incapacitating Injury","2300","2010","Monday","E 16TH ST","Intersection Related","30.27959299","Dark, Not Lighted","-97.70207457","One Motor Vehicle - Going Straight","No","Not Applicable","Flex Base (Granular)","45","SL0111","Dry","Clear"
"11243620","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","1408","2010","Wednesday","N/A","Driveway Access","No Data","Daylight","No Data","One Motor Vehicle - Turning Left","No","Not Applicable","No Data","0","SL0343","Wet","Rain"
"11318193","No Data","No Data","0","0","1","2","0","Non-Incapacitating Injury","1715","2010","Thursday","GUADALUPE ST","Intersection Related","30.28157205","Daylight","-97.74142165","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","35","W MARTIN LUTHER KING JR BLVD","Dry","Clear"
"11286981","No Data","No Data","0","0","1","0","0","Non-Incapacitating Injury","1826","2010","Tuesday","UNKNOWN","Intersection","30.23811479","Dark, Lighted","-97.78856245","One Motor Vehicle - Turning Left","No","Not Applicable","No Data","30","VICTORY DR","Dry","Clear"
"11385048","34215","2014","0","0","0","1","1","Possible Injury","2104","2010","Thursday","N/A","Non Intersection","30.2476193","Dark, Lighted","-97.77293717","One Motor Vehicle - Going Straight","No","Not Applicable","Flex Base (Granular)","40","SL0343","Wet","Rain"
"11385175","160919","2014","0","0","0","1","1","Possible Injury","1814","2010","Wednesday","US0290","Intersection","30.1984497","Dusk","-97.76409913","One Motor Vehicle - Going Straight","No","Not Applicable","Flex Base (Granular)","50","IH0035","Dry","Cloudy"
"12109691","44866","2014","0","0","1","1","0","Non-Incapacitating Injury","1124","2010","Saturday","RM2222","Intersection","30.33047467","Daylight","-97.80934279","One Motor Vehicle - Turning Right","No","Not Applicable","Flex Base (Granular)","55","SL0360","Dry","Clear"
"12111913","No Data","No Data","0","0","3","1","0","Non-Incapacitating Injury","1605","2010","Saturday","VICTORY DR","Intersection","No Data","Daylight","No Data","Angle - Both Going Straight","No","Not Applicable","No Data","35","SH0290","Dry","Clear"
"11275770","115456","2014","0","0","0","1","1","Possible Injury","1739","2010","Tuesday","N/A","Non Intersection","30.37247755","Daylight","-97.72483975","One Motor Vehicle - Going Straight","No","Not Applicable","Flex Base (Granular)","55","US0183","Dry","Clear"
"11167757","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","1435","2010","Wednesday","N/A","Driveway Access","No Data","Daylight","No Data","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","0","METRIC BLVD","Dry","Cloudy"
"11318186","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","1618","2010","Wednesday","W 21ST ST","Intersection","30.28396478","Daylight","-97.74401246","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","30","NUECES ST","Dry","Clear"
"11259446","33647","2014","0","0","0","0","1","Possible Injury","0439","2010","Friday","N/A","Non Intersection","30.26240035","Dark, Lighted","-97.7579672","One Motor Vehicle - Going Straight","No","Not Applicable","Flex Base (Granular)","35","SL0343","Wet","Rain"
"11275895","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","1742","2010","Friday","INDUSTRIAL BLVD","Intersection","30.22035479","Daylight","-97.76552246","One Motor Vehicle - Turning Left","No","Not Applicable","No Data","40","S CONGRESS AVE","Dry","Cloudy"
"12111502","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","1651","2010","Friday","N/A","Non Intersection","30.29461477","Daylight","-97.74248246","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","35","GUADALUPE ST","Dry","Cloudy"
"11385296","No Data","No Data","0","1","0","1","0","Incapacitating Injury","0722","2010","Wednesday","W 6TH ST","Intersection","30.26805478","Daylight","-97.74281246","One Motor Vehicle - Turning Left","No","Not Applicable","No Data","35","CONGRESS AVE","Unknown","Unknown"
"11184837","No Data","No Data","0","0","0","0","1","Possible Injury","0758","2010","Friday","UNKNOWN","Intersection","30.32328119","Daylight","-97.73400717","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","30","NORTHLOOP BLVD W","Dry","Clear"
"11184966","No Data","No Data","0","0","0","4","1","Possible Injury","1658","2010","Monday","CONGRESS AVE S","Intersection","30.23550479","Daylight","-97.75636246","One Motor Vehicle - Turning Right","No","Not Applicable","No Data","35","CUMBERLAND RD","Dry","Cloudy"
"11185022","No Data","No Data","0","0","1","2","0","Non-Incapacitating Injury","1315","2010","Saturday","W 30TH ST","Intersection","30.29649477","Daylight","-97.74211246","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","0","GUADALUPE ST","Dry","Clear"
"11184972","No Data","No Data","0","0","1","4","0","Non-Incapacitating Injury","1216","2010","Sunday","UNKNOWN","Intersection","30.34396476","Daylight","-97.71495247","Angle - Both Going Straight","No","Not Applicable","No Data","45","N LAMAR BLVD","Dry","Clear"
"11656056","123443","2014","0","1","0","2","0","Incapacitating Injury","1945","2010","Sunday","US0183","Intersection","30.3682119","Dark, Lighted","-97.74248522","One Motor Vehicle - Turning Left","No","Not Applicable","Flex Base (Granular)","35","SL0001","Dry","Cloudy"
"11768495","No Data","No Data","0","0","1","2","0","Non-Incapacitating Injury","1126","2010","Friday","GUADALUPE ST","Intersection","30.26997478","Daylight","-97.74594246","One Motor Vehicle - Turning Left","No","Not Applicable","No Data","30","W 7TH ST","Wet","Cloudy"
